rating,mean,sd,n,se,ci95,ci_low,ci_high,metric,figure,panel,source,interval_type,policy,smurf_ratio
,1.2926215277777777,0.20229122166229926,16,0.050572805415574816,0.09912269861452663,1.1934988291632511,1.3917442263923043,smurf_victimization,Figure 4,Smurf-ratio stress curve,risk-transfer task cells,95% CI over task cells,multi_objective_without_smurf_penalty,0.05
,0.609548611111111,0.3014833334698326,16,0.07537083336745815,0.14772683340021797,0.46182177771089306,0.757275444511329,smurf_victimization,Figure 4,Smurf-ratio stress curve,risk-transfer task cells,95% CI over task cells,nearest,0.05
,1.1300347222222222,0.23825166681197255,16,0.059562916702993136,0.11674331673786655,1.0132914054843556,1.2467780389600889,smurf_victimization,Figure 4,Smurf-ratio stress curve,risk-transfer task cells,95% CI over task cells,role_aware,0.05
,1.6893229166666668,0.29230341374456853,16,0.07307585343614213,0.14322867273483858,1.5460942439318281,1.8325515894015054,smurf_victimization,Figure 4,Smurf-ratio stress curve,risk-transfer task cells,95% CI over task cells,multi_objective_with_smurf_exposure_penalty,0.1
,1.5805555555555555,0.32364905992721427,16,0.08091226498180357,0.158588039364335,1.4219675161912204,1.7391435949198906,smurf_victimization,Figure 4,Smurf-ratio stress curve,risk-transfer task cells,95% CI over task cells,multi_objective_without_smurf_penalty,0.1
,0.8921006944444444,0.38039896709125626,16,0.09509974177281406,0.18639549387471557,0.7057052005697289,1.07849618831916,smurf_victimization,Figure 4,Smurf-ratio stress curve,risk-transfer task cells,95% CI over task cells,nearest,0.1
,1.3481770833333333,0.3488066512058099,16,0.08720166280145247,0.17091525909084684,1.1772618242424864,1.5190923424241802,smurf_victimization,Figure 4,Smurf-ratio stress curve,risk-transfer task cells,95% CI over task cells,role_aware,0.1
,1.5916666666666668,0.24882698056107994,16,0.062206745140269984,0.12192522047492917,1.4697414461917375,1.713591887141596,smurf_victimization,Figure 4,Smurf-ratio stress curve,risk-transfer task cells,95% CI over task cells,multi_objective_with_smurf_exposure_penalty,0.15
,1.5131076388888889,0.2680543411745664,16,0.0670135852936416,0.13134662717553752,1.3817610117133514,1.6444542660644264,smurf_victimization,Figure 4,Smurf-ratio stress curve,risk-transfer task cells,95% CI over task cells,multi_objective_without_smurf_penalty,0.15
,0.9631076388888888,0.3628196649113704,16,0.0907049162278426,0.1777816358065715,0.7853260030823174,1.1408892746954604,smurf_victimization,Figure 4,Smurf-ratio stress curve,risk-transfer task cells,95% CI over task cells,nearest,0.15
,1.3235243055555554,0.2790768091748912,16,0.0697692022937228,0.13674763649569668,1.1867766690598587,1.4602719420512522,smurf_victimization,Figure 4,Smurf-ratio stress curve,risk-transfer task cells,95% CI over task cells,role_aware,0.15
,0.3025917113135233,0.08162080762450054,80,0.009125483711340816,0.017885948074228,0.2847057632392953,0.3204776593877513,fairness_debt,Figure 5,Aggregate channel,risk-transfer task cells,95% CI over task cells,multi_objective_with_smurf_exposure_penalty,
,0.2792604178186448,0.07462840301221778,80,0.00834370910937845,0.01635366985438176,0.26290674796426305,0.29561408767302655,fairness_debt,Figure 5,Aggregate channel,risk-transfer task cells,95% CI over task cells,multi_objective_without_smurf_penalty,
,0.5262957570925624,0.0763965378121258,80,0.008541392589677317,0.01674112947576754,0.5095546276167948,0.5430368865683299,fairness_debt,Figure 5,Aggregate channel,risk-transfer task cells,95% CI over task cells,nearest,
,0.20342830966359107,0.061030605627633384,80,0.006823429144568473,0.013373921123354207,0.19005438854023687,0.21680223078694527,fairness_debt,Figure 5,Aggregate channel,risk-transfer task cells,95% CI over task cells,role_aware,
,1.0216319444444444,0.6846469475245817,80,0.0765458557626348,0.1500298772947642,0.8716020671496802,1.1716618217392085,smurf_victimization,Figure 5,Subgroup channel,risk-transfer task cells,95% CI over task cells,multi_objective_with_smurf_exposure_penalty,
,1.0150694444444444,0.6393756592107539,80,0.07148437185769926,0.14010936884109054,0.8749600756033538,1.155178813285535,smurf_victimization,Figure 5,Subgroup channel,risk-transfer task cells,95% CI over task cells,multi_objective_without_smurf_penalty,
,0.5776041666666667,0.4497900861633108,80,0.05028806041333252,0.09856459841013174,0.47903956825653493,0.6761687650767985,smurf_victimization,Figure 5,Subgroup channel,risk-transfer task cells,95% CI over task cells,nearest,
,0.9215625,0.5532428998490588,80,0.06185443660658018,0.12123469574889716,0.8003278042511028,1.042797195748897,smurf_victimization,Figure 5,Subgroup channel,risk-transfer task cells,95% CI over task cells,role_aware,
